Title,Description,ImageUrl,Link,Date,Type
The 12th United Nations Global Compact–Accenture CEO Study,"The United Nations Global Compact–Accenture CEO Study offers a candid look at perspectives of more than 2,600 CEOs across 128 countries and 18 industries at the urgent opportunities and challenges for leaders to contribute to the 2023 Agenda and achieving the Sustainable Development Goals.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6103/show@2x/12th_United_Nations_Global_Compact-Accenture_CEO_Study.png?1673459818,/library/6103,2023-01-01,Report
Business Dilemmas Forum: Navigating Expectations for Societal Leadership,"Fifty global executives convened during the UN General Assembly’s week of high-level debates, to candidly share corporate approaches to converging global crises. This business-to-business discussion focused on complex dilemmas related to strengthening peace, justice, and strong institutions (Sustainable Development Goal 16). Discussion centered around three questions: 1. How are you managing increased pressure to take a stand on political and social issues? 2. How are you weighing the cost of doing something, versus the cost of doing nothing? 3. How can lobbying be part of an accountability framework regarding corporate actions in these areas? This document summarizes high-level take-aways.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6105/show@2x/cover-245.PNG?1677179960,/library/6105,2023-01-01,Meeting Report
Communication on Progress Questionnaire,"The CoP questionnaire focuses on five disclosure areas (governance, human rights, labour, environment and anti-corruption) and is designed to help participating companies monitor performance across the Ten Principles. There will be no scoring or ranking associated with the CoP questionnaire. Rather, the objective is to create transparency and enable progress.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6106/show@2x/image.png?1677260926,/library/6106,2023-01-01,Policy Document
Communication on Progress Guidebook,"A helpful resource providing question rationale and guidance, linked reporting references, and a glossary of terms to assist in the completion of the enhanced CoP questionnaire.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6107/show@2x/image%282%29.png?1677870915,/library/6107,2023-01-01,Report
"CORPORATE CLIMATE TARGET SETTING, ACTION AND GLOBAL COLLABORATION TOWARDS A NET-ZERO FUTURE - ACCELERATE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT THROUGH GLOBAL DEVELOPMENT INITIATIVE","The world is calling for immediate and collective action towards a universal climate goal, outlined in the Paris Agreement. Working with top talents from around the world, the United Nations is taking urgent actions to standardize guidelines for achieving Net-Zero, creating a platform of global collaboration. China takes the lead in fostering a conducive environment for global collaboration through proposing the Global Development Initiative (GDI), with a series of initiatives surrounding eight key areas including climate actions. A just transition to a Net-Zero future requires bold actions from all parties, and corporates are an indispensable force. The key to success is knowing “where to go” — setting climate targets, and “how to get there” — implementing Net-Zero initiatives.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6140/show@2x/corporatecover2.PNG?1680557581,/library/6140,2023-01-01,Policy Document
CoP Policy,Policy on Communication on Progress,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6141/show@2x/image%283%29.png?1680117810,/library/6141,2023-01-01,Policy Document
CEO Statement of Continued Support,Policy Document,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6142/show@2x/ceostatement.PNG?1680205870,/library/6142,2023-01-01,Policy Document
Just Transition and Renewable Energy: A Business Brief,"To address the increasing risk of catastrophic climate change, provide sustainable energy to the 733 million people who currently lack access to electricity, and to power sustainable development, there is an urgent need to transition to renewable energy. Business has a critical role to play in ensuring this transition is just and leaves no one behind. This business brief outlines the context of emerging national just transition policies, provides an advocacy agenda for businesses to influence policies responsibly and includes examples of company best practices and success factors. Download today to learn the 10 recommendations for businesses to advance the just transition within and beyond their companies in support of the goals of the Paris Agreement and the 2030 Agenda. The business brief is available in English and Spanish.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6143/show@2x/2023_Just_Transition_-_Brief_4.jpg?1684272172,/library/6143,2023-01-01,Report
CFO ACTION ON CORPORATE INVESTMENT AND FINANCE FOR SUSTAINABLE DEVELOPMENT,"The purpose of this position paper is to establish the potential of Global Compact companies all over the world to invest at scale in key private sector solutions for the SDGs, especially in the clean energy transition and economic and social development. It also provides intellectual support for a broad Global Compact call to action to all its companies at the occasion of the SDG stocktake this year, to establish ambitious targets in five key areas including SDG-aligned corporate investments and finance with the SDGs (other areas include living wage, climate change, gender equality, and water stewardship).",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6144/show@2x/cfo_cover.PNG?1686077395,/library/6144,2023-01-01,Report
Just Transition in Supply Chains: A Business Brief,"Companies of all sizes may be exposed to multiple climate change-related risks through their supply chains. By placing just transition at the centre of their risk management strategies, your company can better manage converging risks that may impact your business. This brief outlines the policies and practices companies can implement to manage the environmental and social impacts of their supply chain, discusses multilateral frameworks, and offers recommendations for businesses to improve their sustainability and resilience, including real-world examples.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6145/show@2x/Just_Transition_in_Supply_Chains_Business_Brief_Cover.jpg?1691000439,/library/6145,2023-01-01,Report
Forward Faster Action Guides,"The Forward Faster action guides provide companies that have committed or are considering committing to the Forward Faster initiative, with additional, target-specific details on key definitions, examples of actions and key performance indicators (KPIs), including interim targets, resources and policy advocacy that companies can utilize as they define a strategy to meet the target(s) by 2030.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6146/show@2x/foward_faster.PNG?1689709788,/library/6146,2023-01-01,Report
CEO Water Mandate: 2022 Impact Report,"The inaugural CEO Water Mandate 2022 Impact Report encapsulates the collective efforts of 234 endorsing companies and partners in addressing the water crisis. It maps key strides, from advancing new water stewardship practices and rolling out critical guides, to launching the Water Resilience Coalition Brazil Chapter and the Corporate Water Benchmark Tool at COP27. Their presence at high-visibility events, such as the World Economic Forum Annual Meeting, Stockholm World Water Week and COP27, further highlights our convening power. Explore their 2022 journey as we continue mobilizing business leaders towards a water-resilient world.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6147/show@2x/accelerating_cover.PNG?1694019820,/library/6147,2023-01-01,Report
Water Resilience Coalition: 2022 Impact Report,"The 2022 Impact Report presents a comprehensive overview of the Water Resilience Coalition's work during the past year. It elaborates on key milestones, including their expansion of 21 collective actions across 15 basins in 6 countries, the launch of the Brazil Chapter and their 2030 Strategy. The report also sheds light on our successful efforts to raise the profile of water action at global forums like the World Economic Forum, Stockholm World Water Week and COP27.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6148/show@2x/water-impact-report.PNG?1694021701,/library/6148,2023-01-01,Report
"Business Leadership in Times of Crisis: Collected Insights from Chief Executive Officers into Successes, Challenges and Areas for Future Focus","A dramatic rise of interlinked global challenges is forcing business executives to navigate new levels of uncertainty. The war in Ukraine is producing alarming cascading effects across a world already impacted by COVID-19 and climate change. The risks of generations lost, as well as waves of food insecurity, energy shortages, unfolding debt crises, and social unrest are very real. In this context of uncertainty, more and more chief executive officers (CEOs) are stepping into broader leadership capacities, propelled by business necessity and by evolving societal expectations of their role. The UN Global Compact has compiled perspectives from CEOs across the globe, to provide policymakers, companies, and the public with practical insights into business leadership in today’s novel and dynamic operating environment. This report describes how today’s CEOs face complex challenges to their operations—and to their sustainability agenda.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6149/show@2x/businessleadership-cover.PNG?1694628293,/library/6149,2023-01-01,Report
Global Seaweed Coalition Annual Report,"The Annual Report of the Global Seaweed Coalition presents the results of the first two years of the Coalition’s operation, formerly known as the Safe Seaweed Coalition.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6150/show@2x/seaweed_cover_2.PNG?1698780195,/library/6150,2023-01-01,Report
United Nations Global Compact-Accenture Global Private Sector SDG Stocktake,"The United Nations Global Compact-Accenture Global Private Sector SDG Stocktake offers an appraisal of private sector contributions to the Sustainable Development Goals (SDGs) in the first half (2015-2022), and a clear path forward for the second half (2023-2030). Based on a combination of innovative data sources, including insights from more than 2,800 business leaders around the world, this report measures the global private sector's impact on the SDGs for the first time.",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6151/show@2x/UNGC_SDG_Stocktake_Report_2023_Cover.png?1699560612,/library/6151,2023-01-01,Report
SDG Playbook for SMEs,"In 2015, the UK Government joined every other country worldwide and committed to Transforming our world: the 2030 Agenda for Sustainable Development, and through it the 17 Sustainable Development Goals (SDGs). The Goals provide a holistic framework that defines our global priorities and aspirations for 2030. They represent a crucial opportunity to end extreme poverty, fight inequality and injustice, and protect our planet. Achieving the Goals requires an unprecedented effort across all aspects of society – and business sits at the heart of it. The SDGs are not just another sustainability framework, but the only universally agreed blueprint to turn meaningful ambition into transformational change. Yet, with just seven years to go and already halfway through the 2030 Agenda, we are far from achieving the Goals in the UK. There is a multifaceted business case for smaller companies to embrace sustainability. Stakeholders – from regulators to investors to customers to employees – expect all companies to be improving their sustainability performance and they are ready to reward companies that embrace this agenda and punish those that do not. However, SMEs consistently report difficulties with embedding the SDGs at the core of their business models. The UN Global Compact Network UK, in partnership with Irwin Mitchell, has developed the SDG Playbook for SMEs: a step-by-step guide to help smaller companies unlock the competitive advantages associated with embracing the SDGs.    ",//ungc-production.s3.us-west-2.amazonaws.com/resources/images/6152/show@2x/playbook_cover.PNG?1699637185,/library/6152,2023-01-01,Report
ILO Helpdesk for Business on International Labour Standards,The ILO Helpdesk is a service from the International Labour Organization that provides a one-stop-shop to help company managers and workers understand the application of international labour standards.,//ungc-production.s3.us-west-2.amazonaws.com/resources/images/75/show@2x/ILO_Helpdesk_E_short.png?1689877507,/library/75,2022-01-01,Website
